"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	Suppressed	51328	Suppressed
	"Baldwin County, AL"	"01003"	12	168121	Unreliable
	"Barbour County, AL"	"01005"	Suppressed	27861	Suppressed
	"Bibb County, AL"	"01007"	Suppressed	22099	Suppressed
	"Blount County, AL"	"01009"	Suppressed	55485	Suppressed
	"Bullock County, AL"	"01011"	Suppressed	10776	Suppressed
	"Butler County, AL"	"01013"	Suppressed	20815	Suppressed
	"Calhoun County, AL"	"01015"	Suppressed	115388	Suppressed
	"Chambers County, AL"	"01017"	Suppressed	34945	Suppressed
	"Cherokee County, AL"	"01019"	Suppressed	25466	Suppressed
	"Chilton County, AL"	"01021"	Suppressed	42318	Suppressed
	"Choctaw County, AL"	"01023"	Suppressed	14431	Suppressed
	"Clarke County, AL"	"01025"	Suppressed	26755	Suppressed
	"Clay County, AL"	"01027"	Suppressed	14053	Suppressed
	"Cleburne County, AL"	"01029"	Suppressed	14538	Suppressed
	"Coffee County, AL"	"01031"	Suppressed	46228	Suppressed
	"Colbert County, AL"	"01033"	Suppressed	54413	Suppressed
	"Conecuh County, AL"	"01035"	Suppressed	13603	Suppressed
	"Coosa County, AL"	"01037"	Suppressed	11451	Suppressed
	"Covington County, AL"	"01039"	Suppressed	37441	Suppressed
	"Crenshaw County, AL"	"01041"	Suppressed	13880	Suppressed
	"Cullman County, AL"	"01043"	Suppressed	79044	Suppressed
	"Dale County, AL"	"01045"	Suppressed	49077	Suppressed
	"Dallas County, AL"	"01047"	Suppressed	44323	Suppressed
	"DeKalb County, AL"	"01049"	Suppressed	68495	Suppressed
	"Elmore County, AL"	"01051"	Suppressed	75246	Suppressed
	"Escambia County, AL"	"01053"	Suppressed	37673	Suppressed
	"Etowah County, AL"	"01055"	Suppressed	103528	Suppressed
	"Fayette County, AL"	"01057"	Suppressed	17767	Suppressed
	"Franklin County, AL"	"01059"	Suppressed	31134	Suppressed
	"Geneva County, AL"	"01061"	Suppressed	26271	Suppressed
	"Greene County, AL"	"01063"	Suppressed	9361	Suppressed
	"Hale County, AL"	"01065"	Suppressed	16427	Suppressed
	"Henry County, AL"	"01067"	Suppressed	16953	Suppressed
	"Houston County, AL"	"01069"	Suppressed	95846	Suppressed
	"Jackson County, AL"	"01071"	Suppressed	53483	Suppressed
	"Jefferson County, AL"	"01073"	38	655893	5.8
	"Lamar County, AL"	"01075"	Suppressed	14816	Suppressed
	"Lauderdale County, AL"	"01077"	Suppressed	90294	Suppressed
	"Lawrence County, AL"	"01079"	Suppressed	34028	Suppressed
	"Lee County, AL"	"01081"	Suppressed	129247	Suppressed
	"Limestone County, AL"	"01083"	Suppressed	73651	Suppressed
	"Lowndes County, AL"	"01085"	Suppressed	12124	Suppressed
	"Macon County, AL"	"01087"	Suppressed	22227	Suppressed
	"Madison County, AL"	"01089"	Suppressed	309170	Suppressed
	"Marengo County, AL"	"01091"	Suppressed	21531	Suppressed
	"Marion County, AL"	"01093"	Suppressed	30779	Suppressed
	"Marshall County, AL"	"01095"	Suppressed	88209	Suppressed
	"Mobile County, AL"	"01097"	19	402916	Unreliable
	"Monroe County, AL"	"01099"	Suppressed	23602	Suppressed
	"Montgomery County, AL"	"01101"	Suppressed	227291	Suppressed
	"Morgan County, AL"	"01103"	Suppressed	115491	Suppressed
	"Perry County, AL"	"01105"	Suppressed	10677	Suppressed
	"Pickens County, AL"	"01107"	Suppressed	20128	Suppressed
	"Pike County, AL"	"01109"	Suppressed	31309	Suppressed
	"Randolph County, AL"	"01111"	Suppressed	22695	Suppressed
	"Russell County, AL"	"01113"	Suppressed	50459	Suppressed
	"St. Clair County, AL"	"01115"	Suppressed	75948	Suppressed
	"Shelby County, AL"	"01117"	Suppressed	178841	Suppressed
	"Sumter County, AL"	"01119"	Suppressed	14059	Suppressed
	"Talladega County, AL"	"01121"	Suppressed	81991	Suppressed
	"Tallapoosa County, AL"	"01123"	Suppressed	41243	Suppressed
	"Tuscaloosa County, AL"	"01125"	Suppressed	181383	Suppressed
	"Walker County, AL"	"01127"	Suppressed	68234	Suppressed
	"Washington County, AL"	"01129"	Suppressed	17705	Suppressed
	"Wilcox County, AL"	"01131"	Suppressed	12221	Suppressed
	"Winston County, AL"	"01133"	Suppressed	24796	Suppressed
	"Aleutians East Borough, AK"	"02013"	Suppressed	2794	Suppressed
	"Aleutians West Census Area, AK"	"02016"	Suppressed	5658	Suppressed
	"Anchorage Borough, AK"	"02020"	12	280085	Unreliable
	"Bethel Census Area, AK"	"02050"	Suppressed	16755	Suppressed
	"Bristol Bay Borough, AK"	"02060"	Suppressed	1111	Suppressed
	"Denali Borough, AK"	"02068"	Suppressed	1837	Suppressed
	"Dillingham Census Area, AK"	"02070"	Suppressed	4833	Suppressed
	"Fairbanks North Star Borough, AK"	"02090"	Suppressed	90545	Suppressed
	"Haines Borough, AK"	"02100"	Suppressed	2300	Suppressed
	"Hoonah-Angoon Census Area, AK"	"02105"	Missing	Missing	Missing
	"Juneau Borough, AK"	"02110"	Suppressed	30808	Suppressed
	"Kenai Peninsula Borough, AK"	"02122"	Suppressed	52253	Suppressed
	"Ketchikan Gateway Borough, AK"	"02130"	Suppressed	13492	Suppressed
	"Kodiak Island Borough, AK"	"02150"	Suppressed	13184	Suppressed
	"Lake and Peninsula Borough, AK"	"02164"	Suppressed	1624	Suppressed
	"Matanuska-Susitna Borough, AK"	"02170"	Suppressed	78633	Suppressed
	"Nome Census Area, AK"	"02180"	Suppressed	9235	Suppressed
