"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	Suppressed	42963	Suppressed
	"Baldwin County, AL"	"01003"	Suppressed	137555	Suppressed
	"Barbour County, AL"	"01005"	Suppressed	28866	Suppressed
	"Bibb County, AL"	"01007"	Suppressed	20560	Suppressed
	"Blount County, AL"	"01009"	Suppressed	50237	Suppressed
	"Bullock County, AL"	"01011"	Suppressed	11755	Suppressed
	"Butler County, AL"	"01013"	Suppressed	21605	Suppressed
	"Calhoun County, AL"	"01015"	Suppressed	114910	Suppressed
	"Chambers County, AL"	"01017"	Suppressed	36527	Suppressed
	"Cherokee County, AL"	"01019"	Suppressed	23605	Suppressed
	"Chilton County, AL"	"01021"	Suppressed	38862	Suppressed
	"Choctaw County, AL"	"01023"	Suppressed	15931	Suppressed
	"Clarke County, AL"	"01025"	Suppressed	27919	Suppressed
	"Clay County, AL"	"01027"	Suppressed	14174	Suppressed
	"Cleburne County, AL"	"01029"	Suppressed	14039	Suppressed
	"Coffee County, AL"	"01031"	Suppressed	43667	Suppressed
	"Colbert County, AL"	"01033"	Suppressed	54715	Suppressed
	"Conecuh County, AL"	"01035"	Suppressed	14158	Suppressed
	"Coosa County, AL"	"01037"	Suppressed	12135	Suppressed
	"Covington County, AL"	"01039"	Suppressed	37843	Suppressed
	"Crenshaw County, AL"	"01041"	Suppressed	13584	Suppressed
	"Cullman County, AL"	"01043"	Suppressed	77065	Suppressed
	"Dale County, AL"	"01045"	Suppressed	49118	Suppressed
	"Dallas County, AL"	"01047"	Suppressed	46722	Suppressed
	"DeKalb County, AL"	"01049"	Suppressed	63593	Suppressed
	"Elmore County, AL"	"01051"	Suppressed	64668	Suppressed
	"Escambia County, AL"	"01053"	Suppressed	38336	Suppressed
	"Etowah County, AL"	"01055"	Suppressed	104002	Suppressed
	"Fayette County, AL"	"01057"	Suppressed	18496	Suppressed
	"Franklin County, AL"	"01059"	Suppressed	31163	Suppressed
	"Geneva County, AL"	"01061"	Suppressed	25585	Suppressed
	"Greene County, AL"	"01063"	Suppressed	10004	Suppressed
	"Hale County, AL"	"01065"	Suppressed	16982	Suppressed
	"Henry County, AL"	"01067"	Suppressed	16129	Suppressed
	"Houston County, AL"	"01069"	Suppressed	88256	Suppressed
	"Jackson County, AL"	"01071"	Suppressed	53433	Suppressed
	"Jefferson County, AL"	"01073"	15	662845	Unreliable
	"Lamar County, AL"	"01075"	Suppressed	15889	Suppressed
	"Lauderdale County, AL"	"01077"	Suppressed	87590	Suppressed
	"Lawrence County, AL"	"01079"	Suppressed	34537	Suppressed
	"Lee County, AL"	"01081"	Suppressed	112898	Suppressed
	"Limestone County, AL"	"01083"	Suppressed	64880	Suppressed
	"Lowndes County, AL"	"01085"	Suppressed	13361	Suppressed
	"Macon County, AL"	"01087"	Suppressed	24085	Suppressed
	"Madison County, AL"	"01089"	Suppressed	274692	Suppressed
	"Marengo County, AL"	"01091"	Suppressed	22519	Suppressed
	"Marion County, AL"	"01093"	Suppressed	31264	Suppressed
	"Marshall County, AL"	"01095"	Suppressed	81992	Suppressed
	"Mobile County, AL"	"01097"	Suppressed	399323	Suppressed
	"Monroe County, AL"	"01099"	Suppressed	24440	Suppressed
	"Montgomery County, AL"	"01101"	Suppressed	223548	Suppressed
	"Morgan County, AL"	"01103"	Suppressed	110670	Suppressed
	"Perry County, AL"	"01105"	Suppressed	12001	Suppressed
	"Pickens County, AL"	"01107"	Suppressed	21036	Suppressed
	"Pike County, AL"	"01109"	Suppressed	29469	Suppressed
	"Randolph County, AL"	"01111"	Suppressed	22072	Suppressed
	"Russell County, AL"	"01113"	Suppressed	49982	Suppressed
	"St. Clair County, AL"	"01115"	Suppressed	63650	Suppressed
	"Shelby County, AL"	"01117"	Suppressed	140502	Suppressed
	"Sumter County, AL"	"01119"	Suppressed	14976	Suppressed
	"Talladega County, AL"	"01121"	Suppressed	79971	Suppressed
	"Tallapoosa County, AL"	"01123"	Suppressed	41649	Suppressed
	"Tuscaloosa County, AL"	"01125"	Suppressed	164411	Suppressed
	"Walker County, AL"	"01127"	Suppressed	70784	Suppressed
	"Washington County, AL"	"01129"	Suppressed	18003	Suppressed
	"Wilcox County, AL"	"01131"	Suppressed	13261	Suppressed
	"Winston County, AL"	"01133"	Suppressed	24679	Suppressed
	"Aleutians East Borough, AK"	"02013"	Suppressed	2739	Suppressed
	"Aleutians West Census Area, AK"	"02016"	Suppressed	5396	Suppressed
	"Anchorage Borough, AK"	"02020"	12	259348	Unreliable
	"Bethel Census Area, AK"	"02050"	Suppressed	15841	Suppressed
	"Bristol Bay Borough, AK"	"02060"	Suppressed	1313	Suppressed
	"Denali Borough, AK"	"02068"	Missing	Missing	Missing
	"Dillingham Census Area, AK"	"02070"	Suppressed	4872	Suppressed
	"Fairbanks North Star Borough, AK"	"02090"	Suppressed	83390	Suppressed
	"Haines Borough, AK"	"02100"	Suppressed	2354	Suppressed
	"Hoonah-Angoon Census Area, AK"	"02105"	Missing	Missing	Missing
	"Juneau Borough, AK"	"02110"	Suppressed	30724	Suppressed
	"Kenai Peninsula Borough, AK"	"02122"	Suppressed	49729	Suppressed
	"Ketchikan Gateway Borough, AK"	"02130"	Suppressed	14302	Suppressed
	"Kodiak Island Borough, AK"	"02150"	Suppressed	13760	Suppressed
	"Lake and Peninsula Borough, AK"	"02164"	Suppressed	1847	Suppressed
	"Matanuska-Susitna Borough, AK"	"02170"	Suppressed	57824	Suppressed
	"Nome Census Area, AK"	"02180"	Suppressed	9204	Suppressed
	"North Slope Borough, AK"	"02185"	Suppressed	7384	Suppressed
	"Northwest Arctic Borough, AK"	"02188"	Suppressed	7113	Suppressed
	"Petersburg Borough/Census Area, AK"	"02195"	Missing	Missing	Missing
	"Prince of Wales-Hyder Census Area, AK"	"02198"	Missing	Missing	Missing
	"Prince of Wales-Outer Ketchikan Census Area, AK"	"02201"	Suppressed	6210	Suppressed
	"Sitka Borough, AK"	"02220"	Suppressed	8805	Suppressed
	"Skagway Municipality, AK"	"02230"	Missing	Missing	Missing
	"Skagway-Hoonah-Angoon Census Area, AK"	"02232"	Suppressed	3453	Suppressed
	"Southeast Fairbanks Census Area, AK"	"02240"	Suppressed	6169	Suppressed
	"Valdez-Cordova Census Area, AK"	"02261"	Suppressed	10077	Suppressed
	"Wade Hampton Census Area, AK"	"02270"	Suppressed	6929	Suppressed
	"Wrangell City and Borough, AK"	"02275"	Missing	Missing	Missing
	"Wrangell-Petersburg Census Area, AK"	"02280"	Suppressed	6681	Suppressed
	"Yakutat Borough, AK"	"02282"	Suppressed	843	Suppressed
	"Yukon-Koyukuk Census Area, AK"	"02290"	Suppressed	8472	Suppressed
	"Apache County, AZ"	"04001"	Suppressed	69801	Suppressed
	"Cochise County, AZ"	"04003"	Suppressed	116530	Suppressed
	"Coconino County, AZ"	"04005"	Suppressed	115307	Suppressed
	"Gila County, AZ"	"04007"	Suppressed	50990	Suppressed
	"Graham County, AZ"	"04009"	Suppressed	33279	Suppressed
	"Greenlee County, AZ"	"04011"	Suppressed	8535	Suppressed
	"La Paz County, AZ"	"04012"	Suppressed	19355	Suppressed
	"Maricopa County, AZ"	"04013"	101	3004985	3.4
	"Mohave County, AZ"	"04015"	Suppressed	150351	Suppressed
	"Navajo County, AZ"	"04017"	Suppressed	96100	Suppressed
	"Pima County, AZ"	"04019"	87	828905	10.5
	"Pinal County, AZ"	"04021"	Suppressed	173364	Suppressed
	"Santa Cruz County, AZ"	"04023"	Suppressed	37713	Suppressed
	"Yavapai County, AZ"	"04025"	Suppressed	162943	Suppressed
	"Yuma County, AZ"	"04027"	Suppressed	155665	Suppressed
	"Arkansas County, AR"	"05001"	Suppressed	20966	Suppressed
	"Ashley County, AR"	"05003"	Suppressed	24261	Suppressed
	"Baxter County, AR"	"05005"	Suppressed	38055	Suppressed
	"Benton County, AR"	"05007"	Suppressed	148636	Suppressed
	"Boone County, AR"	"05009"	Suppressed	33436	Suppressed
	"Bradley County, AR"	"05011"	Suppressed	12518	Suppressed
	"Calhoun County, AR"	"05013"	Suppressed	5764	Suppressed
	"Carroll County, AR"	"05015"	Suppressed	25062	Suppressed
	"Chicot County, AR"	"05017"	Suppressed	14265	Suppressed
	"Clark County, AR"	"05019"	Suppressed	23490	Suppressed
	"Clay County, AR"	"05021"	Suppressed	17707	Suppressed
	"Cleburne County, AR"	"05023"	Suppressed	23806	Suppressed
	"Cleveland County, AR"	"05025"	Suppressed	8589	Suppressed
	"Columbia County, AR"	"05027"	Suppressed	25614	Suppressed
	"Conway County, AR"	"05029"	Suppressed	20275	Suppressed
	"Craighead County, AR"	"05031"	Suppressed	81038	Suppressed
	"Crawford County, AR"	"05033"	Suppressed	52708	Suppressed
	"Crittenden County, AR"	"05035"	Suppressed	50530	Suppressed
	"Cross County, AR"	"05037"	Suppressed	19589	Suppressed
	"Dallas County, AR"	"05039"	Suppressed	9272	Suppressed
	"Desha County, AR"	"05041"	Suppressed	15351	Suppressed
	"Drew County, AR"	"05043"	Suppressed	18683	Suppressed
	"Faulkner County, AR"	"05045"	Suppressed	84633	Suppressed
	"Franklin County, AR"	"05047"	Suppressed	17779	Suppressed
	"Fulton County, AR"	"05049"	Suppressed	11519	Suppressed
	"Garland County, AR"	"05051"	Suppressed	87177	Suppressed
	"Grant County, AR"	"05053"	Suppressed	16312	Suppressed
	"Greene County, AR"	"05055"	Suppressed	36881	Suppressed
	"Hempstead County, AR"	"05057"	Suppressed	23536	Suppressed
	"Hot Spring County, AR"	"05059"	Suppressed	30155	Suppressed
	"Howard County, AR"	"05061"	Suppressed	14371	Suppressed
	"Independence County, AR"	"05063"	Suppressed	33951	Suppressed
	"Izard County, AR"	"05065"	Suppressed	13145	Suppressed
	"Jackson County, AR"	"05067"	Suppressed	18617	Suppressed
	"Jefferson County, AR"	"05069"	Suppressed	84178	Suppressed
	"Johnson County, AR"	"05071"	Suppressed	22656	Suppressed
	"Lafayette County, AR"	"05073"	Suppressed	8643	Suppressed
	"Lawrence County, AR"	"05075"	Suppressed	18003	Suppressed
	"Lee County, AR"	"05077"	Suppressed	12719	Suppressed
	"Lincoln County, AR"	"05079"	Suppressed	14474	Suppressed
	"Little River County, AR"	"05081"	Suppressed	13565	Suppressed
	"Logan County, AR"	"05083"	Suppressed	22223	Suppressed
	"Lonoke County, AR"	"05085"	Suppressed	51807	Suppressed
	"Madison County, AR"	"05087"	Suppressed	14003	Suppressed
	"Marion County, AR"	"05089"	Suppressed	15951	Suppressed
	"Miller County, AR"	"05091"	Suppressed	40391	Suppressed
	"Mississippi County, AR"	"05093"	Suppressed	52034	Suppressed
	"Monroe County, AR"	"05095"	Suppressed	10387	Suppressed
	"Montgomery County, AR"	"05097"	Suppressed	9089	Suppressed
	"Nevada County, AR"	"05099"	Suppressed	10066	Suppressed
	"Newton County, AR"	"05101"	Suppressed	8475	Suppressed
	"Ouachita County, AR"	"05103"	Suppressed	28954	Suppressed
	"Perry County, AR"	"05105"	Suppressed	10097	Suppressed
	"Phillips County, AR"	"05107"	Suppressed	26817	Suppressed
	"Pike County, AR"	"05109"	Suppressed	11155	Suppressed
	"Poinsett County, AR"	"05111"	Suppressed	25525	Suppressed
	"Polk County, AR"	"05113"	Suppressed	20079	Suppressed
	"Pope County, AR"	"05115"	Suppressed	54300	Suppressed
	"Prairie County, AR"	"05117"	Suppressed	9590	Suppressed
	"Pulaski County, AR"	"05119"	Suppressed	360312	Suppressed
	"Randolph County, AR"	"05121"	Suppressed	18156	Suppressed
	"St. Francis County, AR"	"05123"	Suppressed	29353	Suppressed
	"Saline County, AR"	"05125"	Suppressed	82130	Suppressed
	"Scott County, AR"	"05127"	Suppressed	10977	Suppressed
	"Searcy County, AR"	"05129"	Suppressed	8178	Suppressed
	"Sebastian County, AR"	"05131"	Suppressed	113302	Suppressed
	"Sevier County, AR"	"05133"	Suppressed	15741	Suppressed
	"Sharp County, AR"	"05135"	Suppressed	16878	Suppressed
	"Stone County, AR"	"05137"	Suppressed	11391	Suppressed
	"Union County, AR"	"05139"	Suppressed	45706	Suppressed
	"Van Buren County, AR"	"05141"	Suppressed	16105	Suppressed
	"Washington County, AR"	"05143"	Suppressed	154627	Suppressed
	"White County, AR"	"05145"	Suppressed	66359	Suppressed
	"Woodruff County, AR"	"05147"	Suppressed	8855	Suppressed
	"Yell County, AR"	"05149"	Suppressed	20918	Suppressed
	"Alameda County, CA"	"06001"	33	1427114	2.3
	"Alpine County, CA"	"06003"	Suppressed	1205	Suppressed
	"Amador County, CA"	"06005"	Suppressed	34903	Suppressed
	"Butte County, CA"	"06007"	Suppressed	201282	Suppressed
	"Calaveras County, CA"	"06009"	Suppressed	40000	Suppressed
	"Colusa County, CA"	"06011"	Suppressed	18620	Suppressed
	"Contra Costa County, CA"	"06013"	37	936983	3.9
	"Del Norte County, CA"	"06015"	Suppressed	27624	Suppressed
