"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	Suppressed	44889	Suppressed
	"Baldwin County, AL"	"01003"	Suppressed	144875	Suppressed
	"Barbour County, AL"	"01005"	Suppressed	28863	Suppressed
	"Bibb County, AL"	"01007"	Suppressed	21028	Suppressed
	"Blount County, AL"	"01009"	Suppressed	51845	Suppressed
	"Bullock County, AL"	"01011"	Suppressed	11358	Suppressed
	"Butler County, AL"	"01013"	Suppressed	21139	Suppressed
	"Calhoun County, AL"	"01015"	Suppressed	111266	Suppressed
	"Chambers County, AL"	"01017"	Suppressed	36274	Suppressed
	"Cherokee County, AL"	"01019"	Suppressed	24182	Suppressed
	"Chilton County, AL"	"01021"	Suppressed	40197	Suppressed
	"Choctaw County, AL"	"01023"	Suppressed	15677	Suppressed
	"Clarke County, AL"	"01025"	Suppressed	27624	Suppressed
	"Clay County, AL"	"01027"	Suppressed	14298	Suppressed
	"Cleburne County, AL"	"01029"	Suppressed	14222	Suppressed
	"Coffee County, AL"	"01031"	Suppressed	43716	Suppressed
	"Colbert County, AL"	"01033"	Suppressed	54793	Suppressed
	"Conecuh County, AL"	"01035"	Suppressed	13940	Suppressed
	"Coosa County, AL"	"01037"	Suppressed	11848	Suppressed
	"Covington County, AL"	"01039"	Suppressed	37069	Suppressed
	"Crenshaw County, AL"	"01041"	Suppressed	13724	Suppressed
	"Cullman County, AL"	"01043"	Suppressed	77415	Suppressed
	"Dale County, AL"	"01045"	Suppressed	49254	Suppressed
	"Dallas County, AL"	"01047"	Suppressed	46132	Suppressed
	"DeKalb County, AL"	"01049"	Suppressed	65678	Suppressed
	"Elmore County, AL"	"01051"	Suppressed	67459	Suppressed
	"Escambia County, AL"	"01053"	Suppressed	38197	Suppressed
	"Etowah County, AL"	"01055"	Suppressed	102976	Suppressed
	"Fayette County, AL"	"01057"	Suppressed	18384	Suppressed
	"Franklin County, AL"	"01059"	Suppressed	31190	Suppressed
	"Geneva County, AL"	"01061"	Suppressed	25565	Suppressed
	"Greene County, AL"	"01063"	Suppressed	9866	Suppressed
	"Hale County, AL"	"01065"	Suppressed	17868	Suppressed
	"Henry County, AL"	"01067"	Suppressed	16358	Suppressed
	"Houston County, AL"	"01069"	Suppressed	89490	Suppressed
	"Jackson County, AL"	"01071"	Suppressed	53997	Suppressed
	"Jefferson County, AL"	"01073"	21	660197	3.2
	"Lamar County, AL"	"01075"	Suppressed	15632	Suppressed
	"Lauderdale County, AL"	"01077"	Suppressed	87791	Suppressed
	"Lawrence County, AL"	"01079"	Suppressed	34870	Suppressed
	"Lee County, AL"	"01081"	Suppressed	116819	Suppressed
	"Limestone County, AL"	"01083"	Suppressed	66936	Suppressed
	"Lowndes County, AL"	"01085"	Suppressed	13329	Suppressed
	"Macon County, AL"	"01087"	Suppressed	23925	Suppressed
	"Madison County, AL"	"01089"	Suppressed	281517	Suppressed
	"Marengo County, AL"	"01091"	Suppressed	22203	Suppressed
	"Marion County, AL"	"01093"	Suppressed	30777	Suppressed
	"Marshall County, AL"	"01095"	Suppressed	82477	Suppressed
	"Mobile County, AL"	"01097"	13	400129	Unreliable
	"Monroe County, AL"	"01099"	Suppressed	24120	Suppressed
	"Montgomery County, AL"	"01101"	Suppressed	223048	Suppressed
	"Morgan County, AL"	"01103"	Suppressed	111682	Suppressed
	"Perry County, AL"	"01105"	Suppressed	11645	Suppressed
	"Pickens County, AL"	"01107"	Suppressed	20873	Suppressed
	"Pike County, AL"	"01109"	Suppressed	29844	Suppressed
