"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	Suppressed	49676	Suppressed
	"Baldwin County, AL"	"01003"	15	162183	Unreliable
	"Barbour County, AL"	"01005"	Suppressed	28027	Suppressed
	"Bibb County, AL"	"01007"	Suppressed	22042	Suppressed
	"Blount County, AL"	"01009"	Suppressed	54624	Suppressed
	"Bullock County, AL"	"01011"	Suppressed	11011	Suppressed
	"Butler County, AL"	"01013"	Suppressed	20830	Suppressed
	"Calhoun County, AL"	"01015"	Suppressed	114477	Suppressed
	"Chambers County, AL"	"01017"	Suppressed	35279	Suppressed
	"Cherokee County, AL"	"01019"	Suppressed	25031	Suppressed
	"Chilton County, AL"	"01021"	Suppressed	41946	Suppressed
	"Choctaw County, AL"	"01023"	Suppressed	14545	Suppressed
	"Clarke County, AL"	"01025"	Suppressed	26764	Suppressed
	"Clay County, AL"	"01027"	Suppressed	14077	Suppressed
	"Cleburne County, AL"	"01029"	Suppressed	14368	Suppressed
	"Coffee County, AL"	"01031"	Suppressed	45604	Suppressed
	"Colbert County, AL"	"01033"	Suppressed	54359	Suppressed
	"Conecuh County, AL"	"01035"	Suppressed	13421	Suppressed
	"Coosa County, AL"	"01037"	Suppressed	11467	Suppressed
	"Covington County, AL"	"01039"	Suppressed	37204	Suppressed
	"Crenshaw County, AL"	"01041"	Suppressed	13699	Suppressed
	"Cullman County, AL"	"01043"	Suppressed	78692	Suppressed
	"Dale County, AL"	"01045"	Suppressed	49050	Suppressed
	"Dallas County, AL"	"01047"	Suppressed	44434	Suppressed
	"DeKalb County, AL"	"01049"	Suppressed	67794	Suppressed
	"Elmore County, AL"	"01051"	Suppressed	72978	Suppressed
	"Escambia County, AL"	"01053"	Suppressed	37601	Suppressed
	"Etowah County, AL"	"01055"	Suppressed	103174	Suppressed
	"Fayette County, AL"	"01057"	Suppressed	18030	Suppressed
	"Franklin County, AL"	"01059"	Suppressed	30968	Suppressed
	"Geneva County, AL"	"01061"	Suppressed	25988	Suppressed
	"Greene County, AL"	"01063"	Suppressed	9675	Suppressed
	"Hale County, AL"	"01065"	Suppressed	16622	Suppressed
	"Henry County, AL"	"01067"	Suppressed	16752	Suppressed
	"Houston County, AL"	"01069"	Suppressed	93903	Suppressed
	"Jackson County, AL"	"01071"	Suppressed	53332	Suppressed
	"Jefferson County, AL"	"01073"	19	654919	Unreliable
	"Lamar County, AL"	"01075"	Suppressed	15009	Suppressed
	"Lauderdale County, AL"	"01077"	Suppressed	89358	Suppressed
	"Lawrence County, AL"	"01079"	Suppressed	34435	Suppressed
	"Lee County, AL"	"01081"	Suppressed	126133	Suppressed
	"Limestone County, AL"	"01083"	Suppressed	71303	Suppressed
	"Lowndes County, AL"	"01085"	Suppressed	12397	Suppressed
	"Macon County, AL"	"01087"	Suppressed	22388	Suppressed
	"Madison County, AL"	"01089"	Suppressed	301474	Suppressed
	"Marengo County, AL"	"01091"	Suppressed	21569	Suppressed
	"Marion County, AL"	"01093"	Suppressed	30494	Suppressed
	"Marshall County, AL"	"01095"	Suppressed	86516	Suppressed
	"Mobile County, AL"	"01097"	16	398942	Unreliable
	"Monroe County, AL"	"01099"	Suppressed	23683	Suppressed
	"Montgomery County, AL"	"01101"	Suppressed	223608	Suppressed
	"Morgan County, AL"	"01103"	Suppressed	113964	Suppressed
	"Perry County, AL"	"01105"	Suppressed	10881	Suppressed
	"Pickens County, AL"	"01107"	Suppressed	20192	Suppressed
	"Pike County, AL"	"01109"	Suppressed	30772	Suppressed
	"Randolph County, AL"	"01111"	Suppressed	22658	Suppressed
	"Russell County, AL"	"01113"	Suppressed	49731	Suppressed
	"St. Clair County, AL"	"01115"	Suppressed	72596	Suppressed
	"Shelby County, AL"	"01117"	Suppressed	171691	Suppressed
	"Sumter County, AL"	"01119"	Suppressed	14143	Suppressed
	"Talladega County, AL"	"01121"	Suppressed	81546	Suppressed
	"Tallapoosa County, AL"	"01123"	Suppressed	40857	Suppressed
	"Tuscaloosa County, AL"	"01125"	Suppressed	175731	Suppressed
	"Walker County, AL"	"01127"	Suppressed	68500	Suppressed
	"Washington County, AL"	"01129"	Suppressed	17690	Suppressed
	"Wilcox County, AL"	"01131"	Suppressed	12369	Suppressed
	"Winston County, AL"	"01133"	Suppressed	24629	Suppressed
	"Aleutians East Borough, AK"	"02013"	Suppressed	2787	Suppressed
	"Aleutians West Census Area, AK"	"02016"	Suppressed	5913	Suppressed
	"Anchorage Borough, AK"	"02020"	Suppressed	276494	Suppressed
	"Bethel Census Area, AK"	"02050"	Suppressed	16728	Suppressed
	"Bristol Bay Borough, AK"	"02060"	Suppressed	1171	Suppressed
	"Denali Borough, AK"	"02068"	Suppressed	1834	Suppressed
	"Dillingham Census Area, AK"	"02070"	Suppressed	4841	Suppressed
	"Fairbanks North Star Borough, AK"	"02090"	Suppressed	90431	Suppressed
	"Haines Borough, AK"	"02100"	Suppressed	2280	Suppressed
	"Hoonah-Angoon Census Area, AK"	"02105"	Missing	Missing	Missing
	"Juneau Borough, AK"	"02110"	Suppressed	31003	Suppressed
	"Kenai Peninsula Borough, AK"	"02122"	Suppressed	51590	Suppressed
	"Ketchikan Gateway Borough, AK"	"02130"	Suppressed	13305	Suppressed
	"Kodiak Island Borough, AK"	"02150"	Suppressed	13105	Suppressed
	"Lake and Peninsula Borough, AK"	"02164"	Suppressed	1639	Suppressed
	"Matanuska-Susitna Borough, AK"	"02170"	Suppressed	74409	Suppressed
	"Nome Census Area, AK"	"02180"	Suppressed	9338	Suppressed
	"North Slope Borough, AK"	"02185"	Suppressed	8190	Suppressed
	"Northwest Arctic Borough, AK"	"02188"	Suppressed	7416	Suppressed
	"Petersburg Borough/Census Area, AK"	"02195"	Missing	Missing	Missing
	"Prince of Wales-Hyder Census Area, AK"	"02198"	Missing	Missing	Missing
	"Prince of Wales-Outer Ketchikan Census Area, AK"	"02201"	Suppressed	5534	Suppressed
	"Sitka Borough, AK"	"02220"	Suppressed	8994	Suppressed
	"Skagway Municipality, AK"	"02230"	Missing	Missing	Missing
	"Skagway-Hoonah-Angoon Census Area, AK"	"02232"	Suppressed	3265	Suppressed
	"Southeast Fairbanks Census Area, AK"	"02240"	Suppressed	6530	Suppressed
