"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	Suppressed	52405	Suppressed
	"Baldwin County, AL"	"01003"	14	172404	Unreliable
	"Barbour County, AL"	"01005"	Suppressed	27757	Suppressed
	"Bibb County, AL"	"01007"	Suppressed	22438	Suppressed
	"Blount County, AL"	"01009"	Suppressed	56240	Suppressed
	"Bullock County, AL"	"01011"	Suppressed	11011	Suppressed
	"Butler County, AL"	"01013"	Suppressed	20894	Suppressed
	"Calhoun County, AL"	"01015"	Suppressed	116211	Suppressed
	"Chambers County, AL"	"01017"	Suppressed	34847	Suppressed
	"Cherokee County, AL"	"01019"	Suppressed	25553	Suppressed
	"Chilton County, AL"	"01021"	Suppressed	42881	Suppressed
	"Choctaw County, AL"	"01023"	Suppressed	14216	Suppressed
	"Clarke County, AL"	"01025"	Suppressed	26436	Suppressed
	"Clay County, AL"	"01027"	Suppressed	14085	Suppressed
	"Cleburne County, AL"	"01029"	Suppressed	14799	Suppressed
	"Coffee County, AL"	"01031"	Suppressed	47458	Suppressed
	"Colbert County, AL"	"01033"	Suppressed	54486	Suppressed
	"Conecuh County, AL"	"01035"	Suppressed	13441	Suppressed
	"Coosa County, AL"	"01037"	Suppressed	11439	Suppressed
	"Covington County, AL"	"01039"	Suppressed	37631	Suppressed
	"Crenshaw County, AL"	"01041"	Suppressed	13956	Suppressed
	"Cullman County, AL"	"01043"	Suppressed	79576	Suppressed
	"Dale County, AL"	"01045"	Suppressed	49488	Suppressed
	"Dallas County, AL"	"01047"	Suppressed	44194	Suppressed
	"DeKalb County, AL"	"01049"	Suppressed	69450	Suppressed
	"Elmore County, AL"	"01051"	Suppressed	77124	Suppressed
	"Escambia County, AL"	"01053"	Suppressed	37839	Suppressed
	"Etowah County, AL"	"01055"	Suppressed	103893	Suppressed
	"Fayette County, AL"	"01057"	Suppressed	17523	Suppressed
	"Franklin County, AL"	"01059"	Suppressed	31004	Suppressed
	"Geneva County, AL"	"01061"	Suppressed	26322	Suppressed
	"Greene County, AL"	"01063"	Suppressed	9385	Suppressed
	"Hale County, AL"	"01065"	Suppressed	16418	Suppressed
	"Henry County, AL"	"01067"	Suppressed	17108	Suppressed
	"Houston County, AL"	"01069"	Suppressed	97727	Suppressed
	"Jackson County, AL"	"01071"	Suppressed	53333	Suppressed
	"Jefferson County, AL"	"01073"	44	655163	6.7
	"Lamar County, AL"	"01075"	Suppressed	14901	Suppressed
	"Lauderdale County, AL"	"01077"	Suppressed	91107	Suppressed
	"Lawrence County, AL"	"01079"	Suppressed	34293	Suppressed
	"Lee County, AL"	"01081"	Suppressed	131934	Suppressed
	"Limestone County, AL"	"01083"	Suppressed	76063	Suppressed
	"Lowndes County, AL"	"01085"	Suppressed	11973	Suppressed
	"Macon County, AL"	"01087"	Suppressed	21942	Suppressed
	"Madison County, AL"	"01089"	Suppressed	315859	Suppressed
	"Marengo County, AL"	"01091"	Suppressed	21475	Suppressed
	"Marion County, AL"	"01093"	Suppressed	30849	Suppressed
	"Marshall County, AL"	"01095"	Suppressed	89605	Suppressed
	"Mobile County, AL"	"01097"	29	405715	7.1
	"Monroe County, AL"	"01099"	Suppressed	23437	Suppressed
	"Montgomery County, AL"	"01101"	Suppressed	227888	Suppressed
	"Morgan County, AL"	"01103"	Suppressed	116397	Suppressed
	"Perry County, AL"	"01105"	Suppressed	10774	Suppressed
	"Pickens County, AL"	"01107"	Suppressed	19989	Suppressed
	"Pike County, AL"	"01109"	Suppressed	31761	Suppressed
	"Randolph County, AL"	"01111"	Suppressed	22662	Suppressed
	"Russell County, AL"	"01113"	Suppressed	51074	Suppressed
	"St. Clair County, AL"	"01115"	Suppressed	79348	Suppressed
	"Shelby County, AL"	"01117"	20	183491	10.9
	"Sumter County, AL"	"01119"	Suppressed	13926	Suppressed
	"Talladega County, AL"	"01121"	Suppressed	82226	Suppressed
	"Tallapoosa County, AL"	"01123"	Suppressed	41414	Suppressed
	"Tuscaloosa County, AL"	"01125"	13	184350	Unreliable
	"Walker County, AL"	"01127"	Suppressed	67695	Suppressed
	"Washington County, AL"	"01129"	Suppressed	17491	Suppressed
	"Wilcox County, AL"	"01131"	Suppressed	12208	Suppressed
	"Winston County, AL"	"01133"	Suppressed	24858	Suppressed
	"Aleutians East Borough, AK"	"02013"	Suppressed	3012	Suppressed
	"Aleutians West Census Area, AK"	"02016"	Suppressed	5466	Suppressed
	"Anchorage Borough, AK"	"02020"	12	278792	Unreliable
	"Bethel Census Area, AK"	"02050"	Suppressed	16723	Suppressed
	"Bristol Bay Borough, AK"	"02060"	Suppressed	1076	Suppressed
	"Denali Borough, AK"	"02068"	Suppressed	1803	Suppressed
	"Dillingham Census Area, AK"	"02070"	Suppressed	4832	Suppressed
	"Fairbanks North Star Borough, AK"	"02090"	Suppressed	93545	Suppressed
	"Haines Borough, AK"	"02100"	Suppressed	2379	Suppressed
	"Hoonah-Angoon Census Area, AK"	"02105"	Missing	Missing	Missing
	"Juneau Borough, AK"	"02110"	Suppressed	30682	Suppressed
	"Kenai Peninsula Borough, AK"	"02122"	Suppressed	53272	Suppressed
	"Ketchikan Gateway Borough, AK"	"02130"	Suppressed	13341	Suppressed
	"Kodiak Island Borough, AK"	"02150"	Suppressed	13159	Suppressed
	"Lake and Peninsula Borough, AK"	"02164"	Suppressed	1629	Suppressed
	"Matanuska-Susitna Borough, AK"	"02170"	Suppressed	81402	Suppressed
	"Nome Census Area, AK"	"02180"	Suppressed	9246	Suppressed
	"North Slope Borough, AK"	"02185"	Suppressed	8519	Suppressed
	"Northwest Arctic Borough, AK"	"02188"	Suppressed	7440	Suppressed
	"Petersburg Borough/Census Area, AK"	"02195"	Missing	Missing	Missing
