"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Okaloosa County, FL"	"12091"	Suppressed	176257	Suppressed
	"Okeechobee County, FL"	"12093"	Suppressed	36776	Suppressed
	"Orange County, FL"	"12095"	44	955136	4.6
	"Osceola County, FL"	"12097"	Suppressed	190844	Suppressed
	"Palm Beach County, FL"	"12099"	86	1191340	7.2
	"Pasco County, FL"	"12101"	38	369665	10.3
	"Pinellas County, FL"	"12103"	86	925102	9.3
	"Polk County, FL"	"12105"	Suppressed	501469	Suppressed
	"Putnam County, FL"	"12107"	Suppressed	71386	Suppressed
	"St. Johns County, FL"	"12109"	Suppressed	135770	Suppressed
	"St. Lucie County, FL"	"12111"	11	205796	Unreliable
	"Santa Rosa County, FL"	"12113"	Suppressed	127438	Suppressed
	"Sarasota County, FL"	"12115"	26	340590	7.6
	"Seminole County, FL"	"12117"	14	382846	Unreliable
	"Sumter County, FL"	"12119"	Suppressed	59539	Suppressed
	"Suwannee County, FL"	"12121"	Suppressed	36186	Suppressed
	"Taylor County, FL"	"12123"	Suppressed	19465	Suppressed
	"Union County, FL"	"12125"	Suppressed	13662	Suppressed
	"Volusia County, FL"	"12127"	17	458248	Unreliable
	"Wakulla County, FL"	"12129"	Suppressed	24458	Suppressed
	"Walton County, FL"	"12131"	Suppressed	43935	Suppressed
	"Washington County, FL"	"12133"	Suppressed	21287	Suppressed
	"Appling County, GA"	"13001"	Suppressed	17502	Suppressed
	"Atkinson County, GA"	"13003"	Suppressed	7748	Suppressed
	"Bacon County, GA"	"13005"	Suppressed	10101	Suppressed
	"Baker County, GA"	"13007"	Suppressed	3923	Suppressed
	"Baldwin County, GA"	"13009"	Suppressed	45203	Suppressed
	"Banks County, GA"	"13011"	Suppressed	15485	Suppressed
	"Barrow County, GA"	"13013"	Suppressed	50409	Suppressed
	"Bartow County, GA"	"13015"	Suppressed	83106	Suppressed
	"Ben Hill County, GA"	"13017"	Suppressed	17178	Suppressed
	"Berrien County, GA"	"13019"	Suppressed	16671	Suppressed
	"Bibb County, GA"	"13021"	Suppressed	153929	Suppressed
	"Bleckley County, GA"	"13023"	Suppressed	11757	Suppressed
	"Brantley County, GA"	"13025"	Suppressed	15556	Suppressed
	"Brooks County, GA"	"13027"	Suppressed	16229	Suppressed
	"Bryan County, GA"	"13029"	Suppressed	24377	Suppressed
	"Bulloch County, GA"	"13031"	Suppressed	57361	Suppressed
	"Burke County, GA"	"13033"	Suppressed	22626	Suppressed
	"Butts County, GA"	"13035"	Suppressed	20993	Suppressed
	"Calhoun County, GA"	"13037"	Suppressed	6359	Suppressed
	"Camden County, GA"	"13039"	Suppressed	45299	Suppressed
	"Candler County, GA"	"13043"	Suppressed	9772	Suppressed
	"Carroll County, GA"	"13045"	Suppressed	94087	Suppressed
	"Catoosa County, GA"	"13047"	Suppressed	56024	Suppressed
	"Charlton County, GA"	"13049"	Suppressed	10910	Suppressed
	"Chatham County, GA"	"13051"	Suppressed	236510	Suppressed
	"Chattahoochee County, GA"	"13053"	Suppressed	18043	Suppressed
	"Chattooga County, GA"	"13055"	Suppressed	25688	Suppressed
	"Cherokee County, GA"	"13057"	Suppressed	158682	Suppressed
	"Clarke County, GA"	"13059"	Suppressed	104673	Suppressed
	"Clay County, GA"	"13061"	Suppressed	3314	Suppressed
	"Clayton County, GA"	"13063"	12	248954	Unreliable
	"Clinch County, GA"	"13065"	Suppressed	6870	Suppressed
	"Cobb County, GA"	"13067"	12	631018	Unreliable
	"Coffee County, GA"	"13069"	Suppressed	38791	Suppressed
	"Colquitt County, GA"	"13071"	Suppressed	42570	Suppressed
	"Columbia County, GA"	"13073"	Suppressed	95818	Suppressed
	"Cook County, GA"	"13075"	Suppressed	15985	Suppressed
	"Coweta County, GA"	"13077"	Suppressed	97191	Suppressed
	"Crawford County, GA"	"13079"	Suppressed	12553	Suppressed
	"Crisp County, GA"	"13081"	Suppressed	22284	Suppressed
	"Dade County, GA"	"13083"	Suppressed	15658	Suppressed
	"Dawson County, GA"	"13085"	Suppressed	17521	Suppressed
	"Decatur County, GA"	"13087"	Suppressed	27892	Suppressed
	"DeKalb County, GA"	"13089"	14	669789	Unreliable
	"Dodge County, GA"	"13091"	Suppressed	19771	Suppressed
	"Dooly County, GA"	"13093"	Suppressed	12207	Suppressed
	"Dougherty County, GA"	"13095"	Suppressed	95429	Suppressed
	"Douglas County, GA"	"13097"	Suppressed	98582	Suppressed
	"Early County, GA"	"13099"	Suppressed	12047	Suppressed
	"Echols County, GA"	"13101"	Suppressed	3751	Suppressed
	"Effingham County, GA"	"13103"	Suppressed	40757	Suppressed
	"Elbert County, GA"	"13105"	Suppressed	20610	Suppressed
	"Emanuel County, GA"	"13107"	Suppressed	21511	Suppressed
	"Evans County, GA"	"13109"	Suppressed	10885	Suppressed
	"Fannin County, GA"	"13111"	Suppressed	21041	Suppressed
	"Fayette County, GA"	"13113"	Suppressed	95707	Suppressed
	"Floyd County, GA"	"13115"	Suppressed	92597	Suppressed
	"Forsyth County, GA"	"13117"	Suppressed	115797	Suppressed
	"Franklin County, GA"	"13119"	Suppressed	20942	Suppressed
	"Fulton County, GA"	"13121"	28	815224	3.4
	"Gilmer County, GA"	"13123"	Suppressed	24920	Suppressed
	"Glascock County, GA"	"13125"	Suppressed	2618	Suppressed
	"Glynn County, GA"	"13127"	Suppressed	69408	Suppressed
	"Gordon County, GA"	"13129"	Suppressed	46939	Suppressed
	"Grady County, GA"	"13131"	Suppressed	23635	Suppressed
	"Greene County, GA"	"13133"	Suppressed	14984	Suppressed
	"Gwinnett County, GA"	"13135"	16	641986	Unreliable
	"Habersham County, GA"	"13137"	Suppressed	37421	Suppressed
	"Hall County, GA"	"13139"	Suppressed	150229	Suppressed
	"Hancock County, GA"	"13141"	Suppressed	9829	Suppressed
	"Haralson County, GA"	"13143"	Suppressed	26676	Suppressed
	"Harris County, GA"	"13145"	Suppressed	25327	Suppressed
	"Hart County, GA"	"13147"	Suppressed	23286	Suppressed
	"Heard County, GA"	"13149"	Suppressed	11207	Suppressed
	"Henry County, GA"	"13151"	Suppressed	140747	Suppressed
	"Houston County, GA"	"13153"	Suppressed	116411	Suppressed
	"Irwin County, GA"	"13155"	Suppressed	9775	Suppressed
	"Jackson County, GA"	"13157"	Suppressed	44940	Suppressed
	"Jasper County, GA"	"13159"	Suppressed	12027	Suppressed
	"Jeff Davis County, GA"	"13161"	Suppressed	13088	Suppressed
	"Jefferson County, GA"	"13163"	Suppressed	17091	Suppressed
	"Jenkins County, GA"	"13165"	Suppressed	8543	Suppressed
	"Johnson County, GA"	"13167"	Suppressed	9436	Suppressed
	"Jones County, GA"	"13169"	Suppressed	24909	Suppressed
	"Lamar County, GA"	"13171"	Suppressed	16289	Suppressed
	"Lanier County, GA"	"13173"	Suppressed	7422	Suppressed
	"Laurens County, GA"	"13175"	Suppressed	45634	Suppressed
	"Lee County, GA"	"13177"	Suppressed	25115	Suppressed
	"Liberty County, GA"	"13179"	Suppressed	62505	Suppressed
	"Lincoln County, GA"	"13181"	Suppressed	8375	Suppressed
	"Long County, GA"	"13183"	Suppressed	10894	Suppressed
	"Lowndes County, GA"	"13185"	Suppressed	93903	Suppressed
	"Lumpkin County, GA"	"13187"	Suppressed	23048	Suppressed
	"McDuffie County, GA"	"13189"	Suppressed	21141	Suppressed
	"McIntosh County, GA"	"13191"	Suppressed	11648	Suppressed
	"Macon County, GA"	"13193"	Suppressed	14245	Suppressed
	"Madison County, GA"	"13195"	Suppressed	26512	Suppressed
	"Marion County, GA"	"13197"	Suppressed	7400	Suppressed
	"Meriwether County, GA"	"13199"	Suppressed	22726	Suppressed
	"Miller County, GA"	"13201"	Suppressed	6336	Suppressed
	"Mitchell County, GA"	"13205"	Suppressed	23698	Suppressed
	"Monroe County, GA"	"13207"	Suppressed	22767	Suppressed
	"Montgomery County, GA"	"13209"	Suppressed	8532	Suppressed
	"Morgan County, GA"	"13211"	Suppressed	16244	Suppressed
	"Murray County, GA"	"13213"	Suppressed	38167	Suppressed
	"Muscogee County, GA"	"13215"	Suppressed	185139	Suppressed
	"Newton County, GA"	"13217"	Suppressed	71102	Suppressed
	"Oconee County, GA"	"13219"	Suppressed	26501	Suppressed
	"Oglethorpe County, GA"	"13221"	Suppressed	13152	Suppressed
	"Paulding County, GA"	"13223"	Suppressed	94561	Suppressed
	"Peach County, GA"	"13225"	Suppressed	24348	Suppressed
	"Pickens County, GA"	"13227"	Suppressed	25258	Suppressed
	"Pierce County, GA"	"13229"	Suppressed	15995	Suppressed
	"Pike County, GA"	"13231"	Suppressed	14445	Suppressed
	"Polk County, GA"	"13233"	Suppressed	39109	Suppressed
	"Pulaski County, GA"	"13235"	Suppressed	10168	Suppressed
	"Putnam County, GA"	"13237"	Suppressed	19366	Suppressed
	"Quitman County, GA"	"13239"	Suppressed	2547	Suppressed
	"Rabun County, GA"	"13241"	Suppressed	15458	Suppressed
	"Randolph County, GA"	"13243"	Suppressed	7747	Suppressed
	"Richmond County, GA"	"13245"	Suppressed	198670	Suppressed
	"Rockdale County, GA"	"13247"	Suppressed	73158	Suppressed
	"Schley County, GA"	"13249"	Suppressed	3920	Suppressed
	"Screven County, GA"	"13251"	Suppressed	15226	Suppressed
	"Seminole County, GA"	"13253"	Suppressed	9210	Suppressed
	"Spalding County, GA"	"13255"	Suppressed	59699	Suppressed
	"Stephens County, GA"	"13257"	Suppressed	25625	Suppressed
	"Stewart County, GA"	"13259"	Suppressed	5424	Suppressed
	"Sumter County, GA"	"13261"	Suppressed	33362	Suppressed
	"Talbot County, GA"	"13263"	Suppressed	6749	Suppressed
	"Taliaferro County, GA"	"13265"	Suppressed	2040	Suppressed
	"Tattnall County, GA"	"13267"	Suppressed	22276	Suppressed
	"Taylor County, GA"	"13269"	Suppressed	8837	Suppressed
	"Telfair County, GA"	"13271"	Suppressed	12347	Suppressed
	"Terrell County, GA"	"13273"	Suppressed	10607	Suppressed
	"Thomas County, GA"	"13275"	Suppressed	42555	Suppressed
	"Tift County, GA"	"13277"	Suppressed	38217	Suppressed
	"Toombs County, GA"	"13279"	Suppressed	26031	Suppressed
	"Towns County, GA"	"13281"	Suppressed	9532	Suppressed
	"Treutlen County, GA"	"13283"	Suppressed	6881	Suppressed
	"Troup County, GA"	"13285"	Suppressed	60224	Suppressed
	"Turner County, GA"	"13287"	Suppressed	9514	Suppressed
	"Twiggs County, GA"	"13289"	Suppressed	10503	Suppressed
	"Union County, GA"	"13291"	Suppressed	18349	Suppressed
	"Upson County, GA"	"13293"	Suppressed	27624	Suppressed
	"Walker County, GA"	"13295"	Suppressed	62841	Suppressed
	"Walton County, GA"	"13297"	Suppressed	66103	Suppressed
	"Ware County, GA"	"13299"	Suppressed	35203	Suppressed
	"Warren County, GA"	"13301"	Suppressed	6270	Suppressed
	"Washington County, GA"	"13303"	Suppressed	21000	Suppressed
	"Wayne County, GA"	"13305"	Suppressed	27308	Suppressed
	"Webster County, GA"	"13307"	Suppressed	2389	Suppressed
	"Wheeler County, GA"	"13309"	Suppressed	6584	Suppressed
	"White County, GA"	"13311"	Suppressed	22281	Suppressed
	"Whitfield County, GA"	"13313"	Suppressed	88041	Suppressed
	"Wilcox County, GA"	"13315"	Suppressed	8766	Suppressed
	"Wilkes County, GA"	"13317"	Suppressed	10695	Suppressed
	"Wilkinson County, GA"	"13319"	Suppressed	10126	Suppressed
	"Worth County, GA"	"13321"	Suppressed	21873	Suppressed
	"Hawaii County, HI"	"15001"	Suppressed	154576	Suppressed
	"Honolulu County, HI"	"15003"	36	890473	4.0
	"Kalawao County, HI"	"15005"	Suppressed	133	Suppressed
	"Kauai County, HI"	"15007"	Suppressed	59981	Suppressed
	"Maui County, HI"	"15009"	Suppressed	134450	Suppressed
	"Ada County, ID"	"16001"	25	321616	7.8
	"Adams County, ID"	"16003"	Suppressed	3559	Suppressed
	"Bannock County, ID"	"16005"	Suppressed	76487	Suppressed
	"Bear Lake County, ID"	"16007"	Suppressed	6219	Suppressed
	"Benewah County, ID"	"16009"	Suppressed	8917	Suppressed
	"Bingham County, ID"	"16011"	Suppressed	42101	Suppressed
	"Blaine County, ID"	"16013"	Suppressed	20189	Suppressed
	"Boise County, ID"	"16015"	Suppressed	6854	Suppressed
	"Bonner County, ID"	"16017"	Suppressed	37634	Suppressed
	"Bonneville County, ID"	"16019"	Suppressed	85060	Suppressed
	"Boundary County, ID"	"16021"	Suppressed	9834	Suppressed
	"Butte County, ID"	"16023"	Suppressed	2906	Suppressed
	"Camas County, ID"	"16025"	Suppressed	1025	Suppressed
	"Canyon County, ID"	"16027"	Suppressed	145160	Suppressed
	"Caribou County, ID"	"16029"	Suppressed	7161	Suppressed
	"Cassia County, ID"	"16031"	Suppressed	21504	Suppressed
	"Clark County, ID"	"16033"	Suppressed	948	Suppressed
	"Clearwater County, ID"	"16035"	Suppressed	8579	Suppressed
	"Custer County, ID"	"16037"	Suppressed	4143	Suppressed
	"Elmore County, ID"	"16039"	Suppressed	27047	Suppressed
	"Franklin County, ID"	"16041"	Suppressed	11687	Suppressed
	"Fremont County, ID"	"16043"	Suppressed	12029	Suppressed
	"Gem County, ID"	"16045"	Suppressed	15488	Suppressed
	"Gooding County, ID"	"16047"	Suppressed	14342	Suppressed
	"Idaho County, ID"	"16049"	Suppressed	15495	Suppressed
