"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	Suppressed	43671	Suppressed
	"Baldwin County, AL"	"01003"	Suppressed	140415	Suppressed
	"Barbour County, AL"	"01005"	Suppressed	29038	Suppressed
	"Bibb County, AL"	"01007"	Suppressed	20826	Suppressed
	"Blount County, AL"	"01009"	Suppressed	51024	Suppressed
	"Bullock County, AL"	"01011"	Suppressed	11714	Suppressed
	"Butler County, AL"	"01013"	Suppressed	21399	Suppressed
	"Calhoun County, AL"	"01015"	Suppressed	112249	Suppressed
	"Chambers County, AL"	"01017"	Suppressed	36583	Suppressed
	"Cherokee County, AL"	"01019"	Suppressed	23988	Suppressed
	"Chilton County, AL"	"01021"	Suppressed	39593	Suppressed
	"Choctaw County, AL"	"01023"	Suppressed	15922	Suppressed
	"Clarke County, AL"	"01025"	Suppressed	27867	Suppressed
	"Clay County, AL"	"01027"	Suppressed	14254	Suppressed
	"Cleburne County, AL"	"01029"	Suppressed	14123	Suppressed
	"Coffee County, AL"	"01031"	Suppressed	43615	Suppressed
	"Colbert County, AL"	"01033"	Suppressed	54984	Suppressed
	"Conecuh County, AL"	"01035"	Suppressed	14089	Suppressed
	"Coosa County, AL"	"01037"	Suppressed	12202	Suppressed
	"Covington County, AL"	"01039"	Suppressed	37631	Suppressed
	"Crenshaw County, AL"	"01041"	Suppressed	13665	Suppressed
	"Cullman County, AL"	"01043"	Suppressed	77483	Suppressed
	"Dale County, AL"	"01045"	Suppressed	49129	Suppressed
	"Dallas County, AL"	"01047"	Suppressed	46365	Suppressed
	"DeKalb County, AL"	"01049"	Suppressed	64452	Suppressed
	"Elmore County, AL"	"01051"	Suppressed	65874	Suppressed
	"Escambia County, AL"	"01053"	Suppressed	38440	Suppressed
	"Etowah County, AL"	"01055"	Suppressed	103459	Suppressed
	"Fayette County, AL"	"01057"	Suppressed	18495	Suppressed
	"Franklin County, AL"	"01059"	Suppressed	31223	Suppressed
	"Geneva County, AL"	"01061"	Suppressed	25764	Suppressed
	"Greene County, AL"	"01063"	Suppressed	9974	Suppressed
	"Hale County, AL"	"01065"	Suppressed	17185	Suppressed
	"Henry County, AL"	"01067"	Suppressed	16310	Suppressed
	"Houston County, AL"	"01069"	Suppressed	88787	Suppressed
	"Jackson County, AL"	"01071"	Suppressed	53926	Suppressed
	"Jefferson County, AL"	"01073"	16	662047	Unreliable
	"Lamar County, AL"	"01075"	Suppressed	15904	Suppressed
	"Lauderdale County, AL"	"01077"	Suppressed	87966	Suppressed
	"Lawrence County, AL"	"01079"	Suppressed	34803	Suppressed
	"Lee County, AL"	"01081"	Suppressed	115092	Suppressed
	"Limestone County, AL"	"01083"	Suppressed	65676	Suppressed
	"Lowndes County, AL"	"01085"	Suppressed	13473	Suppressed
	"Macon County, AL"	"01087"	Suppressed	24105	Suppressed
	"Madison County, AL"	"01089"	Suppressed	276700	Suppressed
	"Marengo County, AL"	"01091"	Suppressed	22539	Suppressed
	"Marion County, AL"	"01093"	Suppressed	31214	Suppressed
	"Marshall County, AL"	"01095"	Suppressed	82231	Suppressed
	"Mobile County, AL"	"01097"	10	399843	Unreliable
	"Monroe County, AL"	"01099"	Suppressed	24324	Suppressed
	"Montgomery County, AL"	"01101"	Suppressed	223510	Suppressed
	"Morgan County, AL"	"01103"	Suppressed	111064	Suppressed
	"Perry County, AL"	"01105"	Suppressed	11861	Suppressed
	"Pickens County, AL"	"01107"	Suppressed	20949	Suppressed
	"Pike County, AL"	"01109"	Suppressed	29605	Suppressed
	"Randolph County, AL"	"01111"	Suppressed	22380	Suppressed
	"Russell County, AL"	"01113"	Suppressed	49756	Suppressed
	"St. Clair County, AL"	"01115"	Suppressed	64742	Suppressed
	"Shelby County, AL"	"01117"	Suppressed	143293	Suppressed
	"Sumter County, AL"	"01119"	Suppressed	14798	Suppressed
	"Talladega County, AL"	"01121"	Suppressed	80321	Suppressed
	"Tallapoosa County, AL"	"01123"	Suppressed	41475	Suppressed
	"Tuscaloosa County, AL"	"01125"	Suppressed	164875	Suppressed
	"Walker County, AL"	"01127"	Suppressed	70713	Suppressed
	"Washington County, AL"	"01129"	Suppressed	18097	Suppressed
	"Wilcox County, AL"	"01131"	Suppressed	13183	Suppressed
	"Winston County, AL"	"01133"	Suppressed	24843	Suppressed
	"Aleutians East Borough, AK"	"02013"	Suppressed	2697	Suppressed
	"Aleutians West Census Area, AK"	"02016"	Suppressed	5465	Suppressed
	"Anchorage Borough, AK"	"02020"	12	260283	Unreliable
	"Bethel Census Area, AK"	"02050"	Suppressed	16006	Suppressed
	"Bristol Bay Borough, AK"	"02060"	Suppressed	1258	Suppressed
	"Denali Borough, AK"	"02068"	Missing	Missing	Missing
	"Dillingham Census Area, AK"	"02070"	Suppressed	4922	Suppressed
	"Fairbanks North Star Borough, AK"	"02090"	Suppressed	82840	Suppressed
	"Haines Borough, AK"	"02100"	Suppressed	2392	Suppressed
	"Hoonah-Angoon Census Area, AK"	"02105"	Missing	Missing	Missing
	"Juneau Borough, AK"	"02110"	Suppressed	30711	Suppressed
	"Kenai Peninsula Borough, AK"	"02122"	Suppressed	49691	Suppressed
	"Ketchikan Gateway Borough, AK"	"02130"	Suppressed	14070	Suppressed
	"Kodiak Island Borough, AK"	"02150"	Suppressed	13913	Suppressed
	"Lake and Peninsula Borough, AK"	"02164"	Suppressed	1823	Suppressed
	"Matanuska-Susitna Borough, AK"	"02170"	Suppressed	59322	Suppressed
	"Nome Census Area, AK"	"02180"	Suppressed	9196	Suppressed
	"North Slope Borough, AK"	"02185"	Suppressed	7385	Suppressed
	"Northwest Arctic Borough, AK"	"02188"	Suppressed	7208	Suppressed
	"Petersburg Borough/Census Area, AK"	"02195"	Missing	Missing	Missing
	"Prince of Wales-Hyder Census Area, AK"	"02198"	Missing	Missing	Missing
	"Prince of Wales-Outer Ketchikan Census Area, AK"	"02201"	Suppressed	6146	Suppressed
	"Sitka Borough, AK"	"02220"	Suppressed	8835	Suppressed
	"Skagway Municipality, AK"	"02230"	Missing	Missing	Missing
	"Skagway-Hoonah-Angoon Census Area, AK"	"02232"	Suppressed	3436	Suppressed
	"Southeast Fairbanks Census Area, AK"	"02240"	Suppressed	6174	Suppressed
	"Valdez-Cordova Census Area, AK"	"02261"	Suppressed	10195	Suppressed
	"Wade Hampton Census Area, AK"	"02270"	Suppressed	7028	Suppressed
	"Wrangell City and Borough, AK"	"02275"	Missing	Missing	Missing
	"Wrangell-Petersburg Census Area, AK"	"02280"	Suppressed	6684	Suppressed
	"Yakutat Borough, AK"	"02282"	Suppressed	808	Suppressed
	"Yukon-Koyukuk Census Area, AK"	"02290"	Suppressed	8444	Suppressed
	"Apache County, AZ"	"04001"	Suppressed	69423	Suppressed
	"Cochise County, AZ"	"04003"	Suppressed	117755	Suppressed
	"Coconino County, AZ"	"04005"	12	116320	Unreliable
	"Gila County, AZ"	"04007"	Suppressed	51335	Suppressed
	"Graham County, AZ"	"04009"	Suppressed	33489	Suppressed
	"Greenlee County, AZ"	"04011"	Suppressed	8547	Suppressed
	"La Paz County, AZ"	"04012"	Suppressed	19715	Suppressed
	"Maricopa County, AZ"	"04013"	90	3072149	2.9
	"Mohave County, AZ"	"04015"	Suppressed	155032	Suppressed
	"Navajo County, AZ"	"04017"	Suppressed	97470	Suppressed
	"Pima County, AZ"	"04019"	98	843746	11.6
	"Pinal County, AZ"	"04021"	Suppressed	179727	Suppressed
	"Santa Cruz County, AZ"	"04023"	Suppressed	38381	Suppressed
	"Yavapai County, AZ"	"04025"	Suppressed	167517	Suppressed
	"Yuma County, AZ"	"04027"	Suppressed	160026	Suppressed
	"Arkansas County, AR"	"05001"	Suppressed	20749	Suppressed
	"Ashley County, AR"	"05003"	Suppressed	24209	Suppressed
	"Baxter County, AR"	"05005"	Suppressed	38386	Suppressed
	"Benton County, AR"	"05007"	Suppressed	153406	Suppressed
	"Boone County, AR"	"05009"	Suppressed	33948	Suppressed
	"Bradley County, AR"	"05011"	Suppressed	12600	Suppressed
	"Calhoun County, AR"	"05013"	Suppressed	5744	Suppressed
	"Carroll County, AR"	"05015"	Suppressed	25357	Suppressed
	"Chicot County, AR"	"05017"	Suppressed	14117	Suppressed
	"Clark County, AR"	"05019"	Suppressed	23546	Suppressed
	"Clay County, AR"	"05021"	Suppressed	17609	Suppressed
	"Cleburne County, AR"	"05023"	Suppressed	24046	Suppressed
	"Cleveland County, AR"	"05025"	Suppressed	8571	Suppressed
	"Columbia County, AR"	"05027"	Suppressed	25603	Suppressed
	"Conway County, AR"	"05029"	Suppressed	20336	Suppressed
	"Craighead County, AR"	"05031"	Suppressed	82148	Suppressed
	"Crawford County, AR"	"05033"	Suppressed	53247	Suppressed
	"Crittenden County, AR"	"05035"	Suppressed	50866	Suppressed
	"Cross County, AR"	"05037"	Suppressed	19526	Suppressed
	"Dallas County, AR"	"05039"	Suppressed	9210	Suppressed
